observer,ls_prop_homo,ls_prop_hetero,ls_median_rt,ls_mean_log_rt,ac_acc,ac_rt,ac_propOpt,ac_switchRate,ac_meanlog2rt,fg_feat_log2,fg_conj_log2,fg_conj_run_num,fg_conj_run_length
1,0.236842105,0.763157895,2262,11.50237476,0.96875,3809.4,0.39823,0.301115,11.61071004,14.4213,14.3078,16.85,2.47686
2,0.582323232,0.417676768,NA,NA,0.975694,4892.26,0.618644,0.363971,11.98569553,14.4659,15.2872,6.85,11.6099
3,0.696202532,0.303797468,3666.5,11.90727186,0.993056,2884.89,0.453782,0.327402,11.31712077,14.2872,14.5566,7.3,7.27316
5,0.512658228,0.487341772,3044,11.59376634,0.975694,3070.13,0.435897,0.442804,11.38286585,14.7574,15.0006,2.9,17.4524
6,0.43490991,0.56509009,2449,11.27197437,0.975694,3294.36,0.441667,0.398524,11.48280392,14.8773,15.0912,12.15,4.54928
7,0.286622807,0.713377193,4179.5,11.91001647,0.954861,3867.14,0.336207,0.430769,11.66413225,14.8198,14.9199,2.2,18.6667
8,0.323958333,0.676041667,2296.5,11.37098464,0.944444,3885.2,0.460177,0.507813,11.71761752,14.5759,14.9744,2.35,18.9167
9,0.36803653,0.63196347,2139,11.20287547,0.979167,3166.48,0.709402,0.201465,11.47855375,14.7166,15.0101,2.35,18.4
10,0.295726496,0.704273504,3098.5,11.70309417,0.989583,2635.69,0.722689,0.265233,11.19335298,14.5571,14.9149,14.9,2.82229
11,0.794514768,0.205485232,NA,NA,0.930556,4570.74,0.482143,0.434959,11.84592653,14.7889,15.0358,6.85,11.4647
12,0.506862745,0.493137255,2999,11.59720501,0.986111,4572.43,0.495798,0.516245,11.87323407,14.9389,15.4528,12.3,4.10361
13,0.58,0.42,3963,11.96434792,0.947917,3409.4,0.531532,0.464844,11.5140759,14.943,15.0803,4.55,13.8247
14,0.274780702,0.725219298,3042.5,11.63565738,0.989583,3718.97,0.516949,0.44086,11.64919002,14.6182,15.1621,16.45,2.55462
15,0.908438819,0.091561181,NA,NA,0.982639,2968.54,0.462185,0.483636,11.3161402,14.7159,14.825,2.05,19.6667
16,0.370042194,0.629957806,3311,11.66014207,0.972222,3415.41,0.512821,0.252788,11.5311114,14.7475,15.3176,12.3,7.8018
17,0.757762557,0.242237443,NA,NA,0.965278,3199.21,0.678261,0.265918,11.47336081,14.8971,15.1265,12.9,3.20498
19,0.386111111,0.613888889,NA,NA,0.986111,2262.89,0.820513,0.208633,11.0136504,14.6181,14.7005,2.1,19.5
20,0.464529915,0.535470085,3663.5,11.94873787,1,5765.14,0.483333,0.263158,12.22907527,14.5028,14.6509,2.4,18.4
22,0.731875,0.268125,4527.5,12.06876842,0.982639,2711.97,0.504202,0.24,11.23252408,14.6856,14.8201,16.05,3.7972
23,0.658809524,0.341190476,4194,12.08513081,0.986111,2781.57,0.855932,0.111913,11.29775572,14.7525,14.9451,7.45,11.667
24,0.508888889,0.491111111,4092.5,12.12030807,0.979167,4326.52,0.344828,0.445255,11.79098254,14.6408,15.3728,16.1,2.55273
25,0.526666667,0.473333333,3110,11.68011172,0.795139,4331.14,0.6,0.322222,11.73337565,14.7421,15.2509,5.25,14.5758
26,0.396753247,0.603246753,3607,11.8143204,0.989583,3056.06,0.512605,0.351254,11.31808076,14.4805,15.2323,14.65,2.92465
27,0.451515152,0.548484848,3765.5,11.81994,0.975694,2967.88,0.478992,0.295203,11.35384487,14.8031,14.9877,2.1,19.5
28,0.187820513,0.812179487,2206.5,11.12850694,0.982639,2894.99,0.521368,0.126812,11.30589541,14.6522,15.2542,3.25,16.2175
29,0.267916667,0.732083333,2798,11.45040325,0.96875,2478.42,0.803419,0.250936,11.15821348,14.5068,14.9012,16.65,2.53007
30,0.583809524,0.416190476,2375,11.28149628,0.958333,3270.95,0.619469,0.293893,11.44498691,14.5126,15.2,14.5,4.00006
31,0.335232068,0.664767932,3086,11.77697886,0.96875,3267.57,0.461538,0.100746,11.47769585,NA,NA,NA,NA
34,0.157172996,0.842827004,3367,11.77196586,0.989583,3424.77,0.525,0.34767,11.52540452,14.783,15.1227,16.7,2.5226
35,0.40021097,0.59978903,2161.5,11.28892988,0.993056,3643.75,0.588235,0.22695,11.59179098,NA,NA,NA,NA
36,0.222943723,0.777056277,2022.5,11.1245206,0.96875,4536.27,0.556522,0.329588,11.8531749,14.6599,14.8781,14.1,3.65333
37,0.208695652,0.791304348,1870.5,10.88997935,0.958333,3391.46,0.632479,0.362595,11.48061151,14.8984,15.1095,9.3,5.38586
38,0.12875,0.87125,1918,11.01742511,NA,NA,NA,NA,NA,15.234,15.5525,7.1,10.354
39,0.208333333,0.791666667,2135.5,11.13265297,NA,NA,NA,NA,NA,14.5979,14.7877,2.2,18.8333
40,0.247679325,0.752320675,3379.5,11.81737131,0.805556,4077.21,0.526316,0.080402,11.80165929,15.0885,15.1111,6,11.9913
41,0.392117117,0.607882883,3952,11.89730267,0.986111,3194.52,0.504202,0.566787,11.44024418,14.9221,15.2904,2.05,19.6667
42,0.344,0.656,2265,11.20591193,0.972222,2726.12,0.537815,0.29368,11.24396628,14.5711,15.0982,11.75,4.49519
43,0.327916667,0.672083333,2498,11.49931997,0.979167,2896.24,0.384615,0.40293,11.2621909,14.4378,14.8825,14.35,3.72253
44,0.17875,0.82125,2307,11.4440659,0.986111,3521.61,0.584746,0.288809,11.56414726,14.7756,15.2776,2.1,19.3333
45,0.510964912,0.489035088,3194.5,11.74348844,0.96875,3838.49,0.469565,0,11.70113137,15.0202,15.7322,39.85,1.00405
46,0.022747748,0.977252252,1705,10.79827197,0.996528,2918.65,0.491667,0.265018,11.30205081,14.5248,14.8971,13.2,3.51559
47,0.327637131,0.672362869,3023.5,11.70914246,0.958333,3495.65,0.552632,0.475096,11.50900725,14.6173,15.1671,11.3,4.12923
49,0.942222222,0.057777778,NA,NA,0.993056,2098.94,0.95,0.0960854,10.8876471,NA,NA,NA,NA
50,0.812888889,0.187111111,7961,12.88797057,0.996528,3956.95,0.466667,0.399293,11.62480786,NA,NA,NA,NA
51,0.484868421,0.515131579,12558,13.41070542,0.972222,5113.72,0.432203,0.505576,12.03943404,NA,NA,NA,NA
52,0.13627451,0.86372549,1978,11.00379266,0.954861,2556.77,0.628319,0.185328,11.14168279,NA,NA,NA,NA
53,0.059375,0.940625,1914,10.97067545,0.986111,2570.55,0.957983,0.162455,11.21368739,14.495,14.7292,9.7,4.73243
54,0.325260417,0.674739583,NA,NA,0.90625,3101.31,0.514019,0.194915,11.37534832,14.8815,14.9022,2.05,19.6667
55,0.145833333,0.854166667,2203,11.125943,0.972222,3576.68,0.641026,0.371747,11.57756492,14.7623,14.7913,2.2,19.3333
59,0.640811966,0.359188034,3326,11.9823613,0.993056,2787.45,0.975,0.11032,11.28510563,14.8005,15.1599,2.4,18.0667
60,0.232175926,0.767824074,2656,11.48198676,0.989583,3815.65,0.655462,0.215054,11.68360625,15.1241,15.3839,7.65,11.1294
61,0.109009009,0.890990991,3106,11.75609259,0.989583,4136.01,0.478992,0.100358,11.78992959,14.9247,15.8008,10.95,3.72908
62,0.146875,0.853125,1994.5,11.09837566,0.979167,3041.49,0.504274,0.260073,11.34581114,14.5332,15.1777,16.2,2.59328
63,0.407971014,0.592028986,2438,11.48474819,0.944444,5588.7,0.582609,0.394531,12.20597285,14.9768,15.3432,8.95,5.24452
64,0.68115942,0.31884058,9070,13.16042114,0.972222,2589.22,0.59322,0.237918,11.16667993,14.6628,15.0539,2.25,19
65,0.208974359,0.791025641,2338,11.18183573,0.972222,2598.3,0.955752,0.171004,11.17226669,14.4676,15.0893,2.05,19.6667
66,0.204487179,0.795512821,2458,11.38066322,0.982639,2591.87,0.5,0.0727273,11.15327054,14.538,15.1108,15.05,5.23377
67,,,,,0.996527778,2633.704626,0.975,0.130742049,11.25310605,14.79703449,14.88198192,2.3,18.66666667
68,,,,,0.986111111,2470.585106,1,0.086642599,11.13619153,14.44013096,14.79067721,5.45,14.66059219
69,,,,,0.982638889,3799.70696,0.669491525,0.247272727,11.69484706,15.19902846,15.49135741,16.1,2.58579239
70,,,,,0.989583333,3251.046263,0.43220339,0.444444444,11.49088865,15.07916494,14.90811194,2.2,18.83333333
71,,,,,0.902777778,3455.709804,0.571428571,0.25862069,11.55006859,14.68286519,14.83311326,4.05,16.45050125
72,,,,,1,3145.585965,0.841666667,0.136842105,11.45917804,14.70574323,14.90473045,2.5,17.61904762
73,,,,,0.986111111,3476.935252,0.504201681,0.277978339,11.54999906,14.68169487,14.94161819,2.4,18.58333333
74,,,,,0.972222222,3817.699634,0.45,0.408921933,11.64507901,14.67514861,14.9102956,12.63157895,4.466307469
75,,,,,0.947916667,2685.022472,0.556521739,0.560784314,11.20962534,14.8345374,14.83519771,12.3,4.2425896
4,NA,NA,NA,NA,0.920139,3850.62,0.477477,0.322314,11.59284505,14.4213,15.0584,10.8333,4.1857
21,NA,NA,NA,NA,0.96875,3044.68,0.655462,0.141791,11.39922936,14.964,15.0416,2.75,17.6667
33,NA,NA,NA,NA,0.996528,2622.47,0.554622,0.141343,11.18837789,14.8077,14.9425,2.7,17.5333
56,NA,NA,NA,NA,0.982639,5112.03,0.533898,0.0505415,12.11243354,15.0307,15.1505,2.1,19.3333
58,NA,NA,NA,NA,0.989583,3111.95,0.521008,0.193548,11.41139957,14.4849,15.0092,2.15,19
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9142,15.3226,12.65,3.41045
